time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2025-05-01 00:00:00,22.2,15.8,255.0,14.3,8.4,67.0,56,28.8,66,12.1,0.0
2025-05-01 01:00:00,21.7,15.3,204.0,11.5,7.7,69.0,56,28.4,68,12.0,0.0
2025-05-01 02:00:00,21.2,14.6,169.0,9.1,7.2,71.0,55,28.2,70,12.3,0.0
2025-05-01 03:00:00,20.7,13.9,156.0,7.3,6.8,73.0,55,27.9,71,12.4,0.0
2025-05-01 04:00:00,20.4,13.4,158.0,6.0,6.4,74.0,56,27.9,71,13.5,0.0
2025-05-01 05:00:00,19.7,13.2,185.0,6.4,6.5,74.0,56,27.9,72,13.9,0.0
2025-05-01 06:00:00,20.3,13.2,261.0,8.8,7.0,73.0,56,27.7,78,13.5,0.0
2025-05-01 07:00:00,21.8,14.5,360.0,11.9,7.7,72.0,56,28.1,78,12.1,0.0
2025-05-01 08:00:00,24.9,16.4,414.0,13.3,8.5,75.0,56,29.6,73,12.9,0.0
2025-05-01 09:00:00,27.7,16.9,378.0,11.4,9.7,87.0,56,31.1,63,15.5,0.0
2025-05-01 10:00:00,30.6,17.2,297.0,7.8,11.1,102.0,56,32.2,57,17.3,0.0
2025-05-01 11:00:00,33.1,17.3,235.0,5.0,11.8,113.0,56,32.8,54,18.3,0.0
2025-05-01 12:00:00,32.1,16.7,219.0,3.9,11.4,115.0,56,33.2,53,19.7,0.0
2025-05-01 13:00:00,29.8,15.8,222.0,3.5,10.3,112.0,56,33.6,50,20.5,0.0
2025-05-01 14:00:00,27.6,15.1,232.0,3.8,9.5,107.0,56,33.2,54,20.4,0.0
2025-05-01 15:00:00,26.2,14.8,244.0,4.6,9.3,102.0,56,32.6,57,20.4,0.0
2025-05-01 16:00:00,25.6,14.7,261.0,6.0,9.4,95.0,56,32.3,60,17.6,0.0
2025-05-01 17:00:00,24.6,15.1,286.0,8.4,10.8,90.0,56,31.7,59,16.7,0.0
2025-05-01 18:00:00,24.7,15.8,326.0,11.4,10.5,82.0,56,31.4,59,12.7,0.0
2025-05-01 19:00:00,24.2,16.8,372.0,15.5,10.0,70.0,57,30.1,67,11.4,0.0
2025-05-01 20:00:00,25.3,16.8,400.0,18.2,9.6,62.0,57,29.4,71,10.4,0.0
2025-05-01 21:00:00,26.1,17.1,401.0,18.6,9.5,59.0,57,29.3,71,11.1,0.0
2025-05-01 22:00:00,27.4,17.8,383.0,17.6,9.4,59.0,57,29.1,70,13.6,0.0
2025-05-01 23:00:00,27.9,18.1,352.0,15.9,9.1,60.0,58,28.8,72,12.4,0.0
2025-05-02 00:00:00,27.4,17.4,297.0,13.1,8.3,63.0,58,28.5,75,13.1,0.0
2025-05-02 01:00:00,25.8,16.1,228.0,9.4,7.2,68.0,58,28.2,77,13.9,0.0
2025-05-02 02:00:00,24.5,15.1,179.0,6.7,6.4,71.0,58,28.1,78,13.5,0.0
2025-05-02 03:00:00,23.7,14.4,160.0,5.4,6.0,72.0,58,27.9,79,13.7,0.0
2025-05-02 04:00:00,23.1,14.1,161.0,4.9,5.8,71.0,58,27.8,79,13.5,0.0
2025-05-02 05:00:00,19.0,13.6,182.0,5.8,5.7,70.0,58,27.7,78,13.5,0.0
2025-05-02 06:00:00,20.7,13.9,243.0,8.1,7.0,69.0,58,27.8,78,13.4,0.0
2025-05-02 07:00:00,22.5,15.6,324.0,11.2,8.9,67.0,58,28.3,78,11.8,0.0
